Date,Currency_code,Country,Local_price,Dollar_price
2007-01-01,NZD,New Zealand,4.6,3.22137875
2007-01-01,PKR,Pakistan,140,2.331196403
2007-01-01,PEN,Peru,9.5,2.97852328
2007-01-01,PHP,Philippines,85,1.732925586
2007-01-01,PLN,Poland,6.9,2.321864221
2007-01-01,RUB,Russia,49,1.846722068
2007-01-01,SAR,Saudi Arabia,9,2.400640171
2007-01-01,SGD,Singapore,3.6,2.340778309
2007-01-01,SEK,Sweden,32,4.544647612
2007-01-01,THB,Thailand,62,1.756373938
2007-01-01,TRY,Turkey,4.55,3.22752261
2007-01-01,TWD,Taiwan,75,2.277869736
2007-01-01,UAH,Ukraine,9,1.782178218
2007-01-01,UYU,Uruguay,55,2.298850575
2007-01-01,USD,United States,3.22,3.22
2007-01-01,ZAR,South Africa,15.5,2.180104786
2007-06-01,AED,UAE,10,2.722681297
2007-06-01,ARS,Argentina,8.25,2.668607472
2007-06-01,AUD,Australia,3.45,2.948717949
2007-06-01,BRL,Brazil,6.9,3.606900157
2007-06-01,CAD,Canada,3.88,3.683136361
2007-06-01,CHF,Switzerland,6.3,5.201453104
2007-06-01,CLP,Chile,1565,2.971048885
2007-06-01,CNY,China,11,1.446473891
2007-06-01,COP,Colombia,6900,3.527607362
2007-06-01,CRC,Costa Rica,1130,2.178838274
2007-06-01,CZK,Czech Republic,52.9,2.505120343
2007-06-01,DKK,Denmark,27.75,5.082138344
2007-06-01,EGP,Egypt,9.54,1.676551997
2007-06-01,EUR,Euro area,3.057482443,4.166889949
2007-06-01,GBP,Britain,1.99,4.007163503
2007-06-01,HKD,Hong Kong,12,1.53540058
2007-06-01,HUF,Hungary,600,3.329437891
2007-06-01,IDR,Indonesia,15900,1.763727121
2007-06-01,JPY,Japan,280,2.289171402
2007-06-01,KRW,South Korea,2900,3.143631436
2007-06-01,LKR,Sri Lanka,210,1.885098743
2007-06-01,MXN,Mexico,29,2.693277487
2007-06-01,MYR,Malaysia,5.5,1.601397583
2007-06-01,NOK,Norway,40,6.880063297
2007-06-01,NZD,New Zealand,4.6,3.594592483
2007-06-01,PKR,Pakistan,140,2.319032632
2007-06-01,PEN,Peru,9.5,2.999684244
2007-06-01,PHP,Philippines,85,1.851952721
2007-06-01,PLN,Poland,6.9,2.50740411
2007-06-01,RUB,Russia,52,2.027428772
2007-06-01,SAR,Saudi Arabia,9,2.399712035
2007-06-01,SGD,Singapore,3.95,2.592288761
2007-06-01,SEK,Sweden,33,4.858907629
2007-06-01,THB,Thailand,62,1.799448556
2007-06-01,TRY,Turkey,4.75,3.659194207
2007-06-01,TWD,Taiwan,75,2.28864375
2007-06-01,UAH,Ukraine,9.25,1.839880656
2007-06-01,UYU,Uruguay,62,2.58926707
2007-06-01,USD,United States,3.41,3.41
2007-06-01,ZAR,South Africa,15.5,2.223497346
2008-06-01,AED,UAE,10,2.722681297
2008-06-01,ARS,Argentina,11,3.64298725
2008-06-01,AUD,Australia,3.45,3.362573099
2008-06-01,BRL,Brazil,7.5,4.733055661
2008-06-01,CAD,Canada,4.09,4.075531862
2008-06-01,CHF,Switzerland,6.5,6.35914494
2008-06-01,CLP,Chile,1550,3.133528758
2008-06-01,CNY,China,12.5,1.829089845
2008-06-01,COP,Colombia,7000,3.891807745
2008-06-01,CRC,Costa Rica,1800,3.266669086
2008-06-01,CZK,Czech Republic,66.08,4.55788577
2008-06-01,DKK,Denmark,28,5.951874841
2008-06-01,EGP,Egypt,13,2.447058824
2008-06-01,EUR,Euro area,3.36856,5.342704588
2008-06-01,GBP,Britain,2.29,4.570496503
2008-06-01,HKD,Hong Kong,13.3,1.705696771
2008-06-01,HUF,Hungary,670,4.644462899
2008-06-01,IDR,Indonesia,18700,2.043269231
2008-06-01,JPY,Japan,280,2.620373403
2008-06-01,KRW,South Korea,3200,3.143264083
2008-06-01,LKR,Sri Lanka,210,1.952580195
2008-06-01,MXN,Mexico,32,3.146973497
2008-06-01,MYR,Malaysia,5.5,1.69857937
2008-06-01,NOK,Norway,40,7.875333471
2008-06-01,NZD,New Zealand,4.9,3.718600592
2008-06-01,PKR,Pakistan,140,1.97461213
2008-06-01,PEN,Peru,9.5,3.345070423
2008-06-01,PHP,Philippines,87,1.95571541
2008-06-01,PLN,Poland,7,3.445814566
2008-06-01,RUB,Russia,59,2.539425659
2008-06-01,SAR,Saudi Arabia,10,2.666986705
