Date,Open,High,Low,Close,Volume,Adj_Close
2013-05-23,164.1600037,165.9100037,163.9400024,165.4499969,211064400,133.4380951
2013-05-24,164.4700012,165.3800049,163.9799957,165.3099976,151573900,133.3251953
2013-05-28,167.0399933,167.7799988,165.8099976,166.3000031,143679800,134.1236115
2013-05-29,165.4199982,165.8000031,164.3399963,165.2200012,160363400,133.2526093
2013-05-30,165.3500061,166.5899963,165.2200012,165.8300018,107793800,133.7445984
2013-05-31,165.3699951,166.3099976,163.1300049,163.4499969,176850100,131.825058
2013-06-03,163.8300018,164.4600067,162.6600037,164.3500061,168390700,132.5509644
2013-06-04,164.4400024,165.1000061,162.7299957,163.5599976,157631500,131.9137726
2013-06-05,163.0899963,163.4199982,161.1300049,161.2700043,211737800,130.0668335
2013-06-06,161.1999969,162.7400055,160.25,162.7299957,200225500,131.2444458
2013-06-07,163.8500061,164.9499969,163.1399994,164.8000031,188337800,132.9138489
2013-06-10,165.3099976,165.3999939,164.3699951,164.8000031,105667100,132.9138489
2013-06-11,163.3000031,164.5399933,162.7400055,163.1000061,159505400,131.5427399
2013-06-12,164.2200012,164.3899994,161.6000061,161.75,177361500,130.4539642
2013-06-13,161.6600037,164.5,161.3000031,164.2100067,163587800,132.4380188
2013-06-14,164.0299988,164.6699982,162.9100037,163.1799927,141197500,131.607254
2013-06-17,164.2899933,165.2200012,163.2200012,164.4400024,136295600,132.6235199
2013-06-18,164.5299988,165.9900055,164.5200043,165.7400055,114695600,133.6720428
2013-06-19,165.6000061,165.8899994,163.3800049,163.4499969,206149500,131.825058
2013-06-20,161.8600006,163.4700012,158.9799957,159.3999939,321255900,128.5587158
2013-06-21,159.6399994,159.7599945,157.4700012,159.0700073,271956800,128.971344
2013-06-24,157.4100037,158.4299927,155.7299957,157.0599976,222329000,127.341713
2013-06-25,158.4799957,160.1000061,157.4199982,158.5700073,162262200,128.565979
2013-06-26,159.8699951,160.5,159.25,160.1399994,134848000,129.8388977
2013-06-27,161.1000061,161.8200073,160.9499969,161.0800018,129483700,130.6010132
2013-06-28,160.6300049,161.3999939,159.8600006,160.4199982,160402900,130.065918
2013-07-01,161.2599945,162.4799957,161.0800018,161.3600006,131954800,130.8280487
2013-07-02,161.1199951,162.3000031,160.5,161.2100067,154863700,130.7064209
2013-07-03,160.4799957,161.7700043,160.2200012,161.2799988,75216400,130.7632446
2013-07-05,162.4700012,163.0800018,161.3000031,163.0200043,122416900,132.1739502
2013-07-08,163.8600006,164.3899994,163.0800018,163.9499969,108092500,132.9279938
2013-07-09,164.9799957,165.3300018,164.2700043,165.1300049,119298000,133.8847046
2013-07-10,164.9700012,165.75,164.6300049,165.1900024,121410100,133.9333954
2013-07-11,167.1100006,167.6100006,165.1799927,167.4400024,135592200,135.7575989
2013-07-12,167.3899994,167.9299927,167.1300049,167.5099945,104212700,135.8143616
