Rank,Company,Ticker,Sector,Industry,Number_of_employees,Revenues_M,Profits_M,Assets_M,MarketCap_M
892,Teleflex,TFX,Health Care,Medical Products and Equipment,14500,2974.5,356.3,7532.5,10643
893,HEICO,HEI,Aerospace & Defense,Aerospace & Defense,9600,2968.1,403.6,7195.1,23341
894,Bruker,BRKR,Technology,"Scientific,Photographic and  Control Equipment",9707,2964.5,427.2,4249.9,12933
895,Carlyle Group,CG,Financials,Securities,2200,2963.9,-608.4,21176,16987
896,Energizer Holdings,ENR,Household Products,Household and Personal Products,5080,2959.7,140.5,4509.6,2113
897,Quad/Graphics,QUAD,Media,"Publishing, Printing",13150,2957.7,-55.4,1509.7,278
898,Rackspace Technology,RXT,Technology,Internet Services and Retailing,5800,2957.1,-837.8,4096.2,347
899,Waters,WAT,Technology,"Scientific,Photographic and  Control Equipment",7900,2956.4,642.2,4626.9,20379
900,West Pharmaceutical Services,WST,Health Care,Medical Products and Equipment,10600,2949.8,593.4,3829.5,28968
901,Carter's,CRI,Apparel,Apparel,15230,2945.6,232.5,2378.6,3089
902,NeueHealth,NEUE,Health Care,Health Care: Insurance and Managed Care,1252,2938.1,-1151.5,1225.5,52
903,SkyWest,SKYW,Transportation,Airlines,12296,2935.4,34.3,7026.3,2788
904,Acadia Healthcare,ACHC,Health Care,Health Care: Medical Facilities,20250,2928.7,-21.7,5358.8,7322
905,Revvity,RVTY,Health Care,Medical Products and Equipment,11500,2926.9,693.1,13564.7,12970
906,Portland General Electric,POR,Energy,Utilities: Gas and Electric,2842,2923,228,11208,4251
907,Woodward,WWD,Aerospace & Defense,Aerospace & Defense,8800,2914.6,232.4,4010.2,9293
908,TEGNA,TGNA,Media,Entertainment,6200,2910.9,476.7,7000.1,2631
909,Sabre,SABR,Retailing,Internet Services and Retailing,6232,2907.7,-527.6,4672.2,918
910,Light & Wonder,LNW,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",6500,2902,163,5552,9171
911,Vail Resorts,MTN,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",32100,2889.4,268.1,5947.8,8460
912,Radius Recycling,RDUS,Materials,Metals,3353,2882.2,-25.8,1715.9,589
913,PennyMac Financial Services,PFSI,Financials,Diversified Financials,3914,2881.8,144.7,18844.6,4594
