Rank,Company,Sector,Employees,Revenues,Profits,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,MarketCap
772,Trimble,Technology,12700,3798.7,311.3,9539.3,Robert G. Painter,U.S.,Westminster,Colorado,https://www.trimble.com,Public,15812
773,Medical Mutual of Ohio,Financials,3084,3795.5,65.9,2787.4,Steven C. Glass,U.S.,Cleveland,Ohio,https://www.medmutual.com,Private,
774,AMN Healthcare Services,Health Care,3585,3789.3,210.7,2924.4,Caroline S. Grace,U.S.,Dallas,Texas,https://www.amnhealthcare.com,Public,2368
775,Mettler-Toledo International,Technology,16650,3788.3,788.8,3355.6,Patrick Kaltenbach,U.S.,Columbus,Ohio,https://www.mt.com,Public,28474
776,ScanSource,Wholesalers,2300,3787.7,89.8,2068.2,Michael L. Baur,U.S.,Greenville,South Carolina,https://www.scansource.com,Public,1109
777,LCI Industries,Motor Vehicles & Parts,11700,3784.8,64.2,2959.3,Jason D. Lippert,U.S.,Elkhart,Indiana,https://www.lci1.com,Public,3132
778,Cboe Global Markets,Financials,1647,3773.5,761.4,7487.5,Fredric J. Tomczyk,U.S.,Chicago,Illinois,https://www.cboe.com,Public,19399
779,Diebold Nixdorf,Technology,21000,3760.5,,4162,Octavio Marquez,U.S.,North Canton,Ohio,https://www.dieboldnixdorf.com,Public,1294
780,ChampionX,Energy,7100,3758.3,314.2,3241.7,Sivasankaran Somasundaram,U.S.,The Woodlands,Texas,https://www.championx.com,Public,6859
781,Corpay,Business Services,10500,3757.7,981.9,15476.3,Ronald F. Clarke,U.S.,Atlanta,Georgia,https://www.fleetcor.com,Public,22170
782,iHeartMedia,Media,9990,3751,-1102.7,6952.6,Robert W. Pittman,U.S.,San Antonio,Texas,https://www.iheartmedia.com,Public,313
783,Travel + Leisure,"Hotels, Restaurants & Leisure",19000,3750,396,6738,Michael D. Brown,U.S.,Orlando,Florida,https://www.travelandleisureco.com,Public,3478
784,Dream Finders Homes,Engineering & Construction,1236,3748.6,295.9,2562.4,Patrick O. Zalupski,U.S.,Jacksonville,Florida,https://www.dreamfindershomes.com,Public,4079
785,Boyd Gaming,"Hotels, Restaurants & Leisure",16129,3738.5,620,6273.1,Keith E. Smith,U.S.,Las Vegas,Nevada,https://www.boydgaming.com,Public,6466
786,NLV Financial,Financials,1370,3735,217.4,45472.1,Mehran Assadi,U.S.,Montpelier,Vermont,https://www.nationallife.com,Private,
