Rank,Company,Sector,Employees,Revenues,Profits,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,MarketCap
198,Kimberly-Clark,Household Products,41000,20431,1764,17344,Michael D. Hsu,U.S.,Irving,Texas,https://www.kimberly-clark.com,Public,43580
199,Waste Management,Business Services,48000,20426,2304,32823,James C. Fish Jr.,U.S.,Houston,Texas,https://www.wm.com,Public,85601
200,Cheniere Energy,Energy,1605,20394,9881,43076,Jack A. Fusco,U.S.,Houston,Texas,https://www.cheniere.com,Public,37851
201,Ross Stores,Retailing,108000,20376.9,1874.5,14300.1,Barbara Rentler,U.S.,Dublin,California,https://www.rossstores.com,Public,49409
202,WestRock,Materials,56100,20310,-1649,27443.7,David B. Sewell,U.S.,Atlanta,Georgia,https://www.westrock.com,Private,12707
203,General Mills,"Food, Beverages & Tobacco",34000,20094.2,2593.9,31451.7,Jeffrey L. Harmening,U.S.,Minneapolis,Minnesota,https://www.generalmills.com,Public,39502
204,Goodyear Tire & Rubber,Motor Vehicles & Parts,71000,20066,-689,21582,Mark W. Stewart,U.S.,Akron,Ohio,https://www.goodyear.com,Public,3901
205,BJ's Wholesale Club,Retailing,34000,19968.7,523.7,6677.6,Robert W. Eddy,U.S.,Marlborough,Massachusetts,https://www.bjs.com,Public,10059
206,GE HealthCare Technologies,Health Care,51000,19552,1568,32454,Peter J. Arduini,U.S.,Chicago,Illinois,https://www.gehealthcare.com,Public,41397
207,Colgate-Palmolive,Household Products,34000,19457,2300,16393,Noel R. Wallace,U.S.,New York,New York,https://www.colgatepalmolive.com,Public,74020
208,Whirlpool,Industrials,59000,19455,481,17312,Marc R. Bitzer,U.S.,Benton Harbor,Michigan,https://www.whirlpoolcorp.com,Public,6515
209,L3Harris Technologies,Aerospace & Defense,50000,19419,1227,41687,Christopher E. Kubasik,U.S.,Melbourne,Florida,https://www.l3harris.com,Public,40508
210,Adobe,Technology,29945,19409,5428,29779,Shantanu Narayen,U.S.,San Jose,California,https://www.adobe.com,Public,226061
211,Becton Dickinson,Health Care,73000,19372,1484,52780,Thomas E. Polen,U.S.,Franklin Lakes,New Jersey,https://www.bd.com,Public,71489
212,Pioneer Natural Resources,Energy,2213,19362,4894,36613,Richard P. Dealy,U.S.,Irving,Texas,https://www.pxd.com,Private,61326
213,Cognizant Technology Solutions,Technology,347700,19353,2126,18483,Ravi Kumar S,U.S.,Teaneck,New Jersey,https://www.cognizant.com,Public,36487
214,Murphy USA,Retailing,10750,19238.2,556.8,4340.1,R. Andrew Clyde,U.S.,El Dorado,Arkansas,https://www.murphyusa.com,Public,8727
215,Fiserv,Business Services,42000,19093,3068,90890,Frank J. Bisignano,U.S.,Milwaukee,Wisconsin,https://www.fiserv.com,Public,94358
216,Parker-Hannifin,Industrials,62730,19065.2,2082.9,29964.5,Jennifer A. Parmentier,U.S.,Cleveland,Ohio,https://www.phstock.com,Public,71370
217,American Electric Power,Energy,17250,18982.3,2208.1,96684,William J. Fehrman,U.S.,Columbus,Ohio,https://www.aep.com,Public,45339
218,International Paper,Materials,39000,18916,288,23261,Andrew K. Silvernail,U.S.,Memphis,Tennessee,https://www.internationalpaper.com,Public,13515
219,ManpowerGroup,Business Services,27900,18914.5,88.8,8830.2,Jonas Prising,U.S.,Milwaukee,Wisconsin,https://www.manpowergroup.com,Public,3756
220,Aramark,Business Services,262550,18853.9,674.1,16871.2,John J. Zillmer,U.S.,Philadelphia,Pennsylvania,https://www.aramark.com,Public,8535
221,Steel Dynamics,Materials,12600,18795.3,2450.9,14908.4,Mark D. Millett,U.S.,Fort Wayne,Indiana,https://www.steeldynamics.com,Public,23413
222,Aflac,Financials,12785,18701,4659,126724,Daniel P. Amos,U.S.,Columbus,Georgia,https://www.aflac.com,Public,49405
223,Reinsurance Group of America,Financials,3900,18567,902,97623,Tony Cheng,U.S.,Chesterfield,Missouri,https://www.rgare.com,Public,12683
224,Emerson Electric,Industrials,67000,18370,13219,42746,S.L. Karsanbhai,U.S.,St. Louis,Missouri,https://www.emerson.com,Public,64842
225,State Street,Financials,46451,18366,1944,297258,Ronald P. O'Hanley,U.S.,Boston,Massachusetts,https://www.statestreet.com,Public,23346
226,PPG Industries,Chemicals,53000,18246,1270,21647,Timothy M. Knavish,U.S.,Pittsburgh,Pennsylvania,https://www.ppg.com,Public,34104
227,United States Steel,Materials,21803,18053,895,20451,David B. Burritt,U.S.,Pittsburgh,Pennsylvania,https://www.ussteel.com,Public,9168
228,Automatic Data Processing,Business Services,63000,18012.2,3412,50971,Maria Black,U.S.,Roseland,New Jersey,https://www.adp.com,Public,102591
229,Group 1 Automotive,Retailing,16011,17873.7,601.6,7774.1,Daryl A. Kenningham,U.S.,Houston,Texas,https://www.group1auto.com,Public,3999
230,Dominion Energy,Energy,17700,17867,1994,109032,Robert M. Blue,U.S.,Richmond,Virginia,https://www.dominionenergy.com,Public,41201
231,BlackRock,Financials,19800,17859,5502,123211,Laurence D. Fink,U.S.,New York,New York,https://www.blackrock.com,Public,124173
232,Oneok,Energy,4775,17677,2659,44266,Pierce H. Norton II,U.S.,Tulsa,Oklahoma,https://www.oneok.com,Public,46752
233,C.H. Robinson Worldwide,Transportation,15246,17596.4,325.1,5225.3,David P. Bozeman,U.S.,Eden Prairie,Minnesota,https://www.chrobinson.com,Public,8908
234,Texas Instruments,Technology,34000,17519,6510,32348,Haviv Ilan,U.S.,Dallas,Texas,https://www.ti.com,Public,158541
235,Kohl's,Retailing,66000,17476,317,14009,Thomas A. Kingsbury,U.S.,Menomonee Falls,Wisconsin,https://www.kohls.com,Public,3233
236,AutoZone,Retailing,95200,17457.2,2528.4,15985.9,Philip B. Daniele III,U.S.,Memphis,Tennessee,https://www.autozone.com,Public,54533
237,Lam Research,Technology,17200,17428.5,4510.9,18781.6,Timothy M. Archer,U.S.,Fremont,California,https://www.lamresearch.com,Public,127376
238,Corteva,"Food, Beverages & Tobacco",22500,17226,735,42996,Charles V. Magro,U.S.,Indianapolis,Indiana,https://www.corteva.com,Public,40304
239,Peter Kiewit Sons',Engineering & Construction,31100,17118,1176,9724,Rick Lanoha,U.S.,Omaha,Nebraska,https://www.kiewit.com,Private,
240,Builders FirstSource,Materials,29000,17097.3,1540.6,10499.5,Dave Rush,U.S.,Irving,Texas,https://www.bldr.com,Public,25431
241,Kyndryl Holdings,Technology,90000,17026,-1374,11464,Martin J. Schroeter,U.S.,New York,New York,https://www.kyndryl.com,Public,5007
242,EchoStar,Telecommunications,15300,17015.6,-1702.1,57108.9,Hamid Akhavan,U.S.,Englewood,Colorado,https://www.echostar.com,Public,3869
243,American Family Insurance Group,Financials,12417,16999.9,-891,38023.5,William Westrate,U.S.,Madison,Wisconsin,https://www.amfam.com,Private,
244,Delek US Holdings,Energy,3591,16917.4,19.8,7171.8,Avigal Soreq,U.S.,Brentwood,Tennessee,https://www.delekus.com,Public,1968
245,Land O'Lakes,"Food, Beverages & Tobacco",9000,16794.9,254.2,9464.3,Beth E. Ford,U.S.,Arden Hills,Minnesota,https://www.landolakesinc.com,Private,
246,Sempra,Energy,16835,16720,3074,87181,Jeffrey W. Martin,U.S.,San Diego,California,https://www.sempra.com,Public,45439
247,Global Partners,Wholesalers,4273,16492.2,152.5,3446,Eric Slifka,U.S.,Waltham,Massachusetts,https://www.globalp.com,Public,1509
248,Grainger,Wholesalers,24650,16478,1829,8147,D.G.  Macpherson,U.S.,Lake Forest,Illinois,https://www.grainger.com,Public,49983
249,Jacobs Solutions,Business Services,58550,16352.4,665.8,14617.1,Bob Pragada,U.S.,Dallas,Texas,https://www.jacobs.com,Public,19316
250,Edison International,Energy,14346,16338,1197,81758,Pedro J. Pizarro,U.S.,Rosemead,California,https://www.edisoninvestor.com,Public,27208
251,MGM Resorts International,"Hotels, Restaurants & Leisure",67000,16164.2,1142.2,42368.5,William J. Hornbuckle,U.S.,Las Vegas,Nevada,https://www.mgmresorts.com,Public,14966
252,Guardian Life Ins. Co. of America,Financials,7561,16137,375,96202,Andrew J. McMahon,U.S.,New York,New York,https://www.guardianlife.com,Private,
253,Illinois Tool Works,Industrials,45000,16107,2957,15518,Christopher A. O'Herlihy,U.S.,Glenview,Illinois,https://www.itw.com,Public,80162
254,Ameriprise Financial,Financials,13800,16096,2556,175191,James M. Cracchiolo,U.S.,Minneapolis,Minnesota,https://www.ameriprise.com,Public,43928
255,PulteGroup,Engineering & Construction,6382,16061.6,2602.4,16087.1,Ryan R. Marshall,U.S.,Atlanta,Georgia,https://www.pultegroupinc.com,Public,25449
256,Targa Resources,Energy,3182,16060.3,1345.9,20671.8,Matthew J. Meloy,U.S.,Houston,Texas,https://www.targaresources.com,Public,24922
257,Ally Financial,Financials,11100,15971,1020,196392,Michael G. Rhodes,U.S.,Detroit,Michigan,https://www.ally.com,Public,12338
258,BorgWarner,Motor Vehicles & Parts,39900,15921,625,14453,Frederic B. Lissalde,U.S.,Auburn Hills,Michigan,https://www.borgwarner.com,Public,8023
259,Estée Lauder,Household Products,53010,15910,1006,23415,Fabrizio Freda,U.S.,New York,New York,https://www.elcompanies.com,Public,55259
260,Loews,Financials,12280,15901,1434,79197,James S. Tisch,U.S.,New York,New York,https://www.loews.com,Public,17396
261,O'Reilly Automotive,Retailing,82958,15812.3,2346.6,13873,Brad Beckham,U.S.,Springfield,Missouri,https://www.oreillyauto.com,Public,66634
262,Markel Group,Financials,21600,15803.6,1996.1,55045.7,Thomas S. Gayner,U.S.,Glen Allen,Virginia,https://www.mklgroup.com,Public,19947
263,Stanley Black & Decker,Household Products,50500,15781.1,-310.5,23663.8,Donald Allan Jr.,U.S.,New Britain,Connecticut,https://www.stanleyblackanddecker.com,Public,15062
264,Micron Technology,Technology,43000,15540,-5833,64254,Sanjay Mehrotra,U.S.,Boise,Idaho,https://www.micron.com,Public,130548
265,Fluor,Engineering & Construction,30187,15474,139,6973,David E. Constable,U.S.,Irving,Texas,https://www.fluor.com,Public,7192
266,Leidos Holdings,Technology,47000,15438,199,12695,Thomas A. Bell,U.S.,Reston,Virginia,https://www.leidos.com,Public,17701
267,Viatris,Health Care,38000,15426.9,54.7,47685.5,Scott A. Smith,U.S.,Canonsburg,Pennsylvania,https://www.viatris.com,Public,14180
268,Kinder Morgan,Energy,10891,15334,2391,71020,Kimberly A. Dang,U.S.,Houston,Texas,https://www.kindermorgan.com,Public,40703
269,Ecolab,Chemicals,48000,15320.2,1372.3,21846.6,Christophe Beck,U.S.,St. Paul,Minnesota,https://www.ecolab.com,Public,66017
270,Baxter International,Health Care,60000,15282,2656,28276,Jos? E. Almeida,U.S.,Deerfield,Illinois,https://www.baxter.com,Public,21705
271,Devon Energy,Energy,1900,15258,3747,24490,Richard E. Muncrief,U.S.,Oklahoma City,Oklahoma,https://www.devonenergy.com,Public,31864
272,Kellanova,"Food, Beverages & Tobacco",23000,15207,951,15621,Steven A. Cahillane,U.S.,Chicago,Illinois,https://www.kellanova.com,Public,19579
273,Farmers Insurance Exchange,Financials,9685,15194.4,-652.9,23677.7,Raul Vargas,U.S.,Woodland Hills,California,https://www.farmers.com,Private,
274,Casey's General Stores,Retailing,31637,15094.5,446.7,5943.3,Darren M. Rebelez,U.S.,Ankeny,Iowa,https://www.caseys.com,Public,11788
275,IQVIA Holdings,Health Care,87000,14984,1358,26681,Ari Bousbib,U.S.,Durham,North Carolina,https://www.iqvia.com,Public,46029
276,Republic Services,Business Services,41000,14964.5,1731,31410.1,Jon Vander Ark,U.S.,Phoenix,Arizona,https://www.republicservices.com,Public,60229
277,Fox,Media,10400,14913,1239,21866,Lachlan K. Murdoch,U.S.,New York,New York,https://www.foxcorporation.com,Public,14225
278,Gap,Retailing,85000,14889,502,11044,Richard Dickson,U.S.,San Francisco,California,https://www.gapinc.com,Public,10290
279,Keurig Dr Pepper,"Food, Beverages & Tobacco",28100,14814,2181,52130,Timothy P. Cofer,U.S.,Burlington,Massachusetts,https://keurig.com,Public,42557
280,Reliance,Materials,15250,14805.9,1335.9,10480.3,Karla R. Lewis,U.S.,Scottsdale,Arizona,https://reliance.com,Public,19190
281,Asbury Automotive Group,Retailing,15000,14802.7,602.5,10159.4,David W. Hult,U.S.,Duluth,Georgia,https://www.asburyauto.com,Public,4811
282,Pacific Life,Financials,4181,14802,875,217386,Darryl D. Button,U.S.,Newport Beach,California,https://www.pacificlife.com,Private,
283,Vistra,Energy,4870,14779,1493,32966,James A. Burke,U.S.,Irving,Texas,https://www.vistracorp.com,Public,24230
284,Western & Southern Financial Group,Financials,2669,14775.1,484.8,75968.9,John F. Barrett,U.S.,Cincinnati,Ohio,https://www.westernsouthern.com,Private,
285,Andersons,"Food, Beverages & Tobacco",2297,14750.1,101.2,3855,Patrick E. Bowe,U.S.,Maumee,Ohio,https://www.andersonsinc.com,Public,1953
286,Nordstrom,Retailing,54000,14693,134,8444,Erik B. Nordstrom,U.S.,Seattle,Washington,https://www.nordstrom.com,Public,3309
287,Omnicom Group,Business Services,75900,14692.2,1391.4,28044.6,John D. Wren,U.S.,New York,New York,https://www.omnicomgroup.com,Public,19081
288,Fidelity National Information Services,Business Services,60000,14680,-6654,55105,Stephanie L. Ferris,U.S.,Jacksonville,Florida,https://www.fisglobal.com,Public,42762
289,Consolidated Edison,Energy,14592,14663,2519,66331,Timothy P. Cawley,U.S.,New York,New York,https://www.conedison.com,Public,31376
290,CSX,Transportation,23232,14657,3715,42408,Joseph R. Hinrichs,U.S.,Jacksonville,Florida,https://www.csx.com,Public,72568
291,AECOM,Engineering & Construction,52000,14591.3,55.3,11233.4,W. Troy Rudd,U.S.,Dallas,Texas,https://www.aecom.com,Public,13341
292,Lumen Technologies,Telecommunications,28000,14557,-10298,34018,Kathleen E. Johnson,U.S.,Monroe,Louisiana,https://www.lumen.com,Public,1585
293,Tractor Supply,Retailing,37500,14555.7,1107.2,9188.2,Harry A. Lawton III,U.S.,Brentwood,Tennessee,https://www.tractorsupply.com,Public,28248
294,DXC Technology,Technology,130000,14430,-568,15845,Raul J. Fernandez,U.S.,Ashburn,Virginia,https://www.dxc.technology,Public,3879
295,AGCO,Industrials,27900,14412.4,1171.4,11421.2,Eric P. Hansotia,U.S.,Duluth,Georgia,https://www.agcocorp.com,Public,9180
296,Sonic Automotive,Retailing,10500,14372.4,178.2,5364.6,David Bruton Smith,U.S.,Charlotte,North Carolina,https://www.sonicautomotive.com,Public,1942
297,Intuit,Technology,22900,14368,2384,27780,Sasan K. Goodarzi,U.S.,Mountain View,California,https://www.intuit.com,Public,181986
298,United Rentals,Business Services,26300,14332,2424,25589,Matthew J. Flannery,U.S.,Stamford,Connecticut,https://www.unitedrentals.com,Public,48437
299,Universal Health Services,Health Care,85025,14282,717.8,13967.6,Marc D. Miller,U.S.,King of Prussia,Pennsylvania,https://www.uhs.com,Public,12265
300,Boston Scientific,Health Care,48000,14240,1592,35136,Michael F. Mahoney,U.S.,Marlborough,Massachusetts,https://www.bostonscientific.com,Public,100673
301,Otis Worldwide,Industrials,71000,14209,1406,10117,Judith F. Marks,U.S.,Farmington,Connecticut,https://www.otis.com,Public,40250
302,Xcel Energy,Energy,11311,14206,1771,64079,Robert C. Frenzel,U.S.,Minneapolis,Minnesota,https://www.xcelenergy.com,Public,29840
303,Edward Jones,Financials,54000,14080,1612,28003,Penny Pennington,U.S.,Des Peres,Missouri,https://www.edwardjones.com,Private,
304,Ball,Materials,21000,14029,707,19303,Daniel W. Fisher,U.S.,Westminster,Colorado,https://www.ball.com,Public,21206
305,LKQ,Wholesalers,49000,13866,936,15079,Justin Jude,U.S.,Chicago,Illinois,https://www.lkqcorp.com,Public,14249
306,Mutual of Omaha,Financials,6231,13855.8,47.7,51838.6,James T. Blackledge,U.S.,Omaha,Nebraska,https://www.mutualofomaha.com,Private,
307,Mosaic,Chemicals,14049,13696.1,1164.9,23032.8,Bruce M. Bodine,U.S.,Tampa,Florida,https://www.mosaicco.com,Public,10442
308,Textron,Aerospace & Defense,35000,13683,921,16856,Scott C. Donnelly,U.S.,Providence,Rhode Island,https://www.textron.com,Public,18501
309,Labcorp Holdings,Health Care,61975,13668.2,418,16725.1,Adam H. Schechter,U.S.,Burlington,North Carolina,https://www.labcorp.com,Public,18373
310,Principal Financial,Financials,19800,13665.8,623.2,305046.7,Daniel J. Houston,U.S.,Des Moines,Iowa,https://www.principal.com,Public,20358
311,Regeneron Pharmaceuticals,Health Care,13450,13117.2,3953.6,33080.2,Leonard S. Schleifer,U.S.,Tarrytown,New York,https://www.regeneron.com,Public,105645
312,Raymond James Financial,Financials,18000,12992,1739,78360,Paul C. Reilly,U.S.,St. Petersburg,Florida,https://www.raymondjames.com,Public,26843
313,Dick's Sporting Goods,Retailing,37200,12984.4,1046.5,9311.8,Lauren R. Hobart,U.S.,Coraopolis,Pennsylvania,https://www.dickssportinggoods.com,Public,18539
314,Auto-Owners Insurance,Financials,6946,12937.7,-912.4,36238.2,Jamie Whisnant,U.S.,Lansing,Michigan,https://www.auto-owners.com,Private,
315,Expedia Group,Retailing,17100,12839,797,21642,Ariane  Gorin,U.S.,Seattle,Washington,https://www.expediagroup.com,Public,18774
316,J.B. Hunt Transport Services,Transportation,34718,12829.7,728.3,8538.3,Shelley Simpson,U.S.,Lowell,Arkansas,https://www.jbhunt.com,Public,20582
317,M&T Bank,Financials,21980,12752,2741,208264,Ren? F. Jones,U.S.,Buffalo,New York,https://www.mtb.com,Public,24233
318,DTE Energy,Energy,9950,12745,1397,44755,Gerardo Norcia,U.S.,Detroit,Michigan,https://www.dteenergy.com,Public,23205
319,AES,Energy,9600,12668,249,44799,Andr?s R. Gluski,U.S.,Arlington,Virginia,https://www.aes.com,Public,12745
320,Berry Global Group,Materials,44000,12664,609,16587,Kevin Kwilinski,U.S.,Evansville,Indiana,https://www.berryglobal.com,Public,7010
321,Fifth Third Bancorp,Financials,18724,12641,2349,214574,Timothy N. Spence,U.S.,Cincinnati,Ohio,https://www.53.com,Public,25435
322,Air Products & Chemicals,Chemicals,21850,12600,2300.2,32002.5,Seifi Ghasemi,U.S.,Allentown,Pennsylvania,https://www.airproducts.com,Public,53857
323,Corning,Industrials,49800,12588,581,28500,Wendell P. Weeks,U.S.,Corning,New York,https://www.corning.com,Public,28192
324,EMCOR Group,Engineering & Construction,38300,12582.9,633,6609.7,Anthony J. Guzzi,U.S.,Norwalk,Connecticut,https://www.emcorgroup.com,Public,16482
325,Amphenol,Technology,95000,12554.7,1928,16526.4,R. Adam Norwitt,U.S.,Wallingford,Connecticut,https://www.amphenol.com,Public,69193
326,Westlake,Chemicals,15520,12548,479,21035,Jean-Marc Gilson,U.S.,Houston,Texas,https://www.westlake.com,Public,19637
327,DuPont,Chemicals,24000,12528,423,38552,Edward D. Breen,U.S.,Wilmington,Delaware,https://www.dupont.com,Public,32016
328,Liberty Media,Media,6486,12525,761,41168,Gregory B. Maffei,U.S.,Englewood,Colorado,https://www.libertymedia.com,Public,9700
329,S&P Global,Business Services,40450,12497,2626,60589,Douglas L. Peterson,U.S.,New York,New York,https://www.spglobal.com,Public,136253
330,Community Health Systems,Health Care,54500,12490,-133,14455,Tim L. Hingtgen,U.S.,Franklin,Tennessee,https://www.chs.net,Public,486
331,FirstEnergy,Energy,12042,12450,1102,48767,Brian X. Tierney,U.S.,Akron,Ohio,https://www.firstenergycorp.com,Public,22226
332,Unum Group,Financials,10683,12385.9,1283.8,63255.2,Richard P. McKenney,U.S.,Chattanooga,Tennessee,https://www.unum.com,Public,10299
333,Henry Schein,Health Care,25000,12339,416,10573,Stanley M. Bergman,U.S.,Melville,New York,https://www.henryschein.com,Public,9705
334,Western Digital,Technology,53000,12318,-1706,24429,David V. Goeckeler,U.S.,San Jose,California,https://www.westerndigital.com,Public,22279
335,Analog Devices,Technology,26000,12305.5,3314.6,48794.5,Vincent T. Roche,U.S.,Wilmington,Massachusetts,https://www.analog.com,Public,98086
336,Conagra Brands,"Food, Beverages & Tobacco",18600,12277,683.6,22052.6,Sean M. Connolly,U.S.,Chicago,Illinois,https://www.conagrabrands.com,Public,14168
337,Citizens Financial Group,Financials,17570,12187,1608,221964,Bruce W. Van Saun,U.S.,Providence,Rhode Island,https://www.citizensbank.com,Public,16635
338,Norfolk Southern,Transportation,20700,12156,1827,41652,Alan H. Shaw,U.S.,Atlanta,Georgia,https://www.norfolksouthern.com,Public,57570
339,Entergy,Energy,12177,12147.4,2356.5,59703.4,Andrew S. Marsh,U.S.,New Orleans,Louisiana,https://www.entergy.com,Public,22536
340,W.R. Berkley,Financials,8329,12142.9,1381.4,37202,W. Robert Berkley Jr.,U.S.,Greenwich,Connecticut,https://www.berkley.com,Public,22689
341,DaVita,Health Care,70000,12140.1,691.5,16893.6,Javier J. Rodriguez,U.S.,Denver,Colorado,https://www.davita.com,Public,12107
342,Northern Trust,Financials,23100,12116.5,1107.3,150783.1,Michael G. O'Grady,U.S.,Chicago,Illinois,https://www.northerntrust.com,Public,18141
343,Hormel Foods,"Food, Beverages & Tobacco",20000,12110,793.6,13448.8,James P. Snee,U.S.,Austin,Minnesota,https://www.hormelfoods.com,Public,19109
344,Crown Holdings,Materials,25000,12010,450,15034,Timothy J. Donahue,U.S.,Tampa,Florida,https://www.crowncork.com,Public,9574
345,Avis Budget Group,Retailing,21250,12008,1632,32569,Joseph A. Ferraro,U.S.,Parsippany,New Jersey,https://www.avisbudgetgroup.com,Public,4344
346,Wayfair,Retailing,12800,12003,-738,3474,Niraj S. Shah,U.S.,Boston,Massachusetts,https://www.wayfair.com,Public,8175
347,MasTec,Engineering & Construction,34000,11995.9,-49.9,9373.5,Jos? R. Mas,U.S.,Coral Gables,Florida,https://www.mastec.com,Public,7393
348,Eversource Energy,Energy,10171,11910.7,-442.2,55612.2,Joseph R. Nolan Jr.,U.S.,Springfield,Massachusetts,https://www.eversource.com,Public,20963
349,Newmont,Energy,21700,11812,-2494,55506,Thomas R. Palmer,U.S.,Denver,Colorado,https://www.newmont.com,Public,41316
350,Ryder System,Transportation,47500,11783,406,15778,Robert E. Sanchez,U.S.,Coral Gables,Florida,https://www.ryder.com,Public,5321
351,Fidelity National Financial,Financials,22293,11752,517,80614,Michael J. Nolan,U.S.,Jacksonville,Florida,https://www.fnf.com,Public,14507
352,Molson Coors Beverage,"Food, Beverages & Tobacco",16500,11702.1,948.9,26375.1,Gavin D.K. Hattersley,U.S.,Chicago,Illinois,https://www.molsoncoors.com,Public,14298
353,Caesars Entertainment,"Hotels, Restaurants & Leisure",51000,11673,786,33366,Thomas R. Reeg,U.S.,Reno,Nevada,https://www.caesars.com,Public,9461
354,Lincoln National,Financials,11024,11645,-752,372413,Ellen G. Cooper,U.S.,Radnor,Pennsylvania,https://lincolnfinancial.com/,Public,5418
355,VF,Apparel,26400,11612.5,118.6,13990.5,Bracken P. Darrell,U.S.,Denver,Colorado,https://www.vfc.com,Public,5964
356,International Flavors & Fragrances,Chemicals,21500,11479,-2567,30978,J. Erik  Fyrwald,U.S.,New York,New York,https://www.iff.com,Public,21955
357,Huntington Ingalls Industries,Aerospace & Defense,44000,11454,681,11215,Christopher D. Kastner,U.S.,Newport News,Virginia,https://www.hii.com,Public,11545
358,Advance Auto Parts,Retailing,54500,11287.6,29.7,12276.3,Shane M. O'Kelly,U.S.,Raleigh,North Carolina,https://www.advanceautoparts.com,Public,5072
359,Public Service Enterprise Group,Energy,12543,11237,2563,50741,Ralph A. LaRossa,U.S.,Newark,New Jersey,https://www.pseg.com,Public,33296
360,Ulta Beauty,Retailing,38000,11207.3,1291,5707,David C. Kimbell,U.S.,Bolingbrook,Illinois,https://www.ulta.com,Public,25239
361,Hershey,"Food, Beverages & Tobacco",19578,11165,1861.8,11902.9,Michele G. Buck,U.S.,Hershey,Pennsylvania,https://www.thehersheycompany.com,Public,39719
362,Chewy,Retailing,18100,11147.7,39.6,3186.9,Sumit Singh,U.S.,Plantation,Florida,https://www.chewy.com,Public,6920
363,American Tower,Financials,5643,11144.2,1483.3,66027.6,Steven O. Vondran,U.S.,Boston,Massachusetts,https://www.americantower.com,Public,92147
364,Mohawk Industries,Household Products,43300,11135.1,-439.5,13559.9,Jeffrey S. Lorberbaum,U.S.,Calhoun,Georgia,https://www.mohawkind.com,Public,8337
365,Assurant,Financials,13600,11131.6,642.5,33635.2,Keith W. Demmings,U.S.,Atlanta,Georgia,https://www.assurant.com,Public,9784
366,Thor Industries,Motor Vehicles & Parts,24900,11121.6,374.3,7260.8,Robert W. Martin,U.S.,Elkhart,Indiana,https://www.thorindustries.com,Public,6257
367,Graybar Electric,Wholesalers,9500,11042.4,463.4,4006.1,Kathleen M. Mazzarella,U.S.,St. Louis,Missouri,https://www.graybar.com,Private,
368,Yum China Holdings,"Hotels, Restaurants & Leisure",293500,10978,827,12031,Joey Wat,U.S.,Plano,Texas,https://ir.yumchina.com,Public,15599
369,Celanese,Chemicals,12410,10940,1960,26597,Lori J. Ryerkerk,U.S.,Irving,Texas,https://www.celanese.com,Public,19173
370,Qurate Retail,Retailing,20386,10915,-145,11368,David L. Rawlinson II,U.S.,Englewood,Colorado,https://www.qurateretail.com,Public,511
371,Williams,Energy,5601,10907,3179,52627,Alan S. Armstrong,U.S.,Tulsa,Oklahoma,https://www.williams.com,Public,47482
372,Interpublic Group,Business Services,57400,10889.3,1098.4,19267.3,Philippe Krakowsky,U.S.,New York,New York,https://www.interpublic.com,Public,12358
373,Ovintiv,Energy,1743,10883,2085,19987,Brendan M. McCracken,U.S.,Denver,Colorado,https://www.ovintiv.com,Public,13959
374,Icahn Enterprises,Financials,15038,10847,-684,20858,Andrew  Teno,U.S.,Sunny Isles Beach,Florida,https://www.ielp.com,Public,7298
375,Huntington Bancshares,Financials,19955,10837,1951,189368,Stephen D. Steinour,U.S.,Columbus,Ohio,https://www.huntington.com,Public,20309
376,Erie Insurance Group,Financials,6510,10812.5,-526.6,27515.2,Timothy G. NeCastro,U.S.,Erie,Pennsylvania,https://www.erieinsurance.com,Private,
377,Carvana,Retailing,13700,10771,450,7071,Ernest C. Garcia III,U.S.,Tempe,Arizona,https://www.carvana.com,Public,16944
378,Hess,Energy,1756,10645,1382,24007,John B. Hess,U.S.,New York,New York,https://www.hess.com,Public,46884
379,Dana,Motor Vehicles & Parts,41800,10555,38,7965,James K. Kamsickas,U.S.,Maumee,Ohio,https://www.dana.com,Public,1841
380,Alcoa,Materials,13600,10551,-651,14155,William F. Oplinger,U.S.,Pittsburgh,Pennsylvania,https://www.alcoa.com,Public,6067
381,Equitable Holdings,Financials,10700,10528,1302,276814,Mark Pearson,U.S.,New York,New York,https://www.equitableholdings.com,Public,12532
382,KLA,Technology,15105,10496.1,3387.3,14072.4,Richard P. Wallace,U.S.,Milpitas,California,https://www.kla.com,Public,94470
383,Darden Restaurants,"Hotels, Restaurants & Leisure",187384,10487.8,981.9,10241.5,Ricardo Cardenas,U.S.,Orlando,Florida,https://www.darden.com,Public,19960
384,Autoliv,Motor Vehicles & Parts,66434,10475,488,8332,Mikael Bratt,U.S.,Auburn Hills,Michigan,https://www.autoliv.com,Public,9810
385,Alaska Air Group,Transportation,24610,10426,235,14613,Benito Minicucci,U.S.,Seattle,Washington,https://www.alaskaair.com,Public,5408
386,KeyCorp,Financials,17692,10397,967,188281,Christopher M. Gorman,U.S.,Cleveland,Ohio,https://www.key.com,Public,14663
387,Las Vegas Sands,"Hotels, Restaurants & Leisure",38550,10372,1221,21778,Robert G. Goldstein,U.S.,Las Vegas,Nevada,https://www.sands.com,Public,38840
388,Owens & Minor,Health Care,22200,10334,-41.3,5093.3,Edward A. Pesicka,U.S.,Mechanicsville,Virginia,https://www.owens-minor.com,Public,2123
389,Hilton Worldwide Holdings,"Hotels, Restaurants & Leisure",178000,10235,1141,15401,Christopher J. Nassetta,U.S.,McLean,Virginia,https://www.hilton.com,Public,53788
