code,current,name,gender,function,country,nationality,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,lang
1981558,TRUE,PLANINSIC Uros,Male,Athlete,Slovenia,Slovenia,186,0,['Volleyball'],['Men'],1998-05-09,MARIBOR,Slovenia,KAMNIK,Slovenia,,,Athlete,,Slovenian
1981564,TRUE,PINTAR Urska,Female,Athlete,Slovenia,Slovenia,0,0,['Cycling Road'],"[""Women's Road Race"", ""Women's Individual Time Trial""]",1985-10-03,LJUBLJANA,Slovenia,,,,,Athlete,,Slovenian
1981567,TRUE,KLEMENCIC Valentina,Female,Athlete,Slovenia,Slovenia,185,0,['Handball'],['Women'],2002-02-05,KRANJ,Slovenia,,,,,Athlete,,"English, Slovenian"
1981581,TRUE,ZELKO Zan Luka,Male,Athlete,Slovenia,Slovenia,0,0,['Sailing'],"[""Men's Dinghy""]",1994-11-04,MARIBOR,Slovenia,MARIBOR,Slovenia,Slejko,"Windsurfing, cycling","Athlete, Slovenian army",,"Croatian, English, German, Slovenian"
1981582,TRUE,PINTARIC Zana,Female,Athlete,Slovenia,Slovenia,0,0,['Archery'],"[""Women's Individual"", 'Mixed Team']",2004-04-27,,,,,,,"Athlete, student",Studies Geology at the University of Ljubljana (SLO),Slovene
1981585,TRUE,RAVNIKAR Ziga,Male,Athlete,Slovenia,Slovenia,0,0,['Archery'],"[""Men's Individual"", 'Mixed Team']",1999-12-25,,,DOMZALE,Slovenia,,Fishing,"Athlete, sport soldier","Studied Physical Therapy at the Angela Boskin Faculty of Health Care (Jesenice, SLO) for less than one year",Slovene
1981587,TRUE,STERN Ziga,Male,Athlete,Slovenia,Slovenia,193,0,['Volleyball'],['Men'],1994-01-02,MARIBOR,Slovenia,,,,,Athlete,,"English, Slovenian"
1981595,TRUE,ANDO Elreen Ann,Female,Athlete,Philippines,Philippines,0,0,['Weightlifting'],"[""Women's 59kg""]",1998-11-01,CEBU,Philippines,CEBU,Philippines,"Andoks, Insik, Acons Ando",,Athlete,Studied at the University of Cebu (PHI),Filipino
1981596,TRUE,SARNO Vanessa,Female,Athlete,Philippines,Philippines,0,0,['Weightlifting'],"[""Women's 71kg""]",2003-09-28,,,TAGBILARAN CITY,Philippines,,,Athlete,,"Chavacano, Filipino"
1981600,TRUE,CENIZA John Febuar,Male,Athlete,Philippines,Philippines,0,0,['Weightlifting'],"[""Men's 61kg""]",1998-02-07,,,CEBU CITY,Philippines,,,"Athlete, student",Studies at the University of Cebu,Filipino
1981602,TRUE,CABANG John,Male,Athlete,Philippines,Spain,0,0,['Athletics'],"[""Men's 110m Hurdles""]",2001-08-27,MADRID,Spain,,,,,,Pursuing a degree in robotics,"English, Euskera"
1981603,TRUE,HOFFMAN Lauren,Female,Athlete,Philippines,Philippines,170,0,['Athletics'],"[""Women's 400m Hurdles""]",1999-03-30,,United States,"DURHAM, NC",United States,,,Athlete,"Graduated in 2022 with a degree from Duke University (Durham, NC, USA). Obtained a second degree from Duke University?셲 Fuqua School of Business",English
1981760,TRUE,JAFAROV Hasrat,Male,Athlete,Azerbaijan,Azerbaijan,0,0,['Wrestling'],"[""Men's Greco-Roman 67kg""]",2002-10-05,GORANBOY,Azerbaijan,,,,,,,Azerbaijani
1981764,TRUE,MULLINGS Ken,Male,Athlete,Bahamas,Bahamas,185,0,['Athletics'],"[""Men's Decathlon""]",1997-04-28,FREEPORT,Bahamas,NASSAU,Bahamas,,,Athlete,"Graduated with a Bachelor's degree at the University of The Bahamas, Nassau (BAH)",English
1981766,TRUE,McCOY Wanya,Male,Athlete,Bahamas,Bahamas,196,0,['Athletics'],"[""Men's 100m"", ""Men's 200m""]",2003-03-29,BERRY ISLAND,Bahamas,"GAINSVILLE, FL",United States,,,"Athlete, student","Studies at University of Florida (Gainesville, FL, USA)",English
1981775,TRUE,SULEYMANOV Sanan,Male,Athlete,Azerbaijan,Azerbaijan,0,0,['Wrestling'],"[""Men's Greco-Roman 77kg""]",1996-12-15,DMANISI,Georgia,,,,,,,Azerbaijani
1981785,TRUE,MAGOMEDOV Magomedkhan,Male,Athlete,Azerbaijan,Azerbaijan,0,0,['Wrestling'],"[""Men's Freestyle 97kg""]",1998-01-27,DAGESTAN,Russian Federation,BAKU,Azerbaijan,,,,,Russian
1981864,TRUE,MORSCHEL Heinz,Male,Athlete,Dominican Republic,Dominican Republic,190,0,['Football'],['Men'],1997-08-24,SANTO DOMINGO,Dominican Republic,,,,Playing video games,Athlete,,"English, German, Spanish"
1982069,TRUE,LOGANIMASI Ponipate,Male,Athlete,Fiji,Fiji,189,91,['Rugby Sevens'],['Men'],1998-03-26,,,SAVUSAVU,Fiji,,,Athlete,,English
1982106,TRUE,de LUCAS Luiyi,Male,Athlete,Dominican Republic,Dominican Republic,194,0,['Football'],['Men'],1994-08-31,GALVAN,Dominican Republic,,Cyprus,,,Athlete,,Spanish
